Date,Open,Close,High,Low,Volume
2009-09-29,297.475,305.2,307.225,295.5,3573062.0
2009-09-30,307.475,310.5,311.4,306.1,2186712.0
2009-10-01,309.0,314.925,324.95,307.525,2843472.0
2009-10-05,309.35,307.65,319.5,305.5,3129798.0
2009-10-06,312.475,307.1,314.2,302.5,3724027.0
2009-10-07,309.45,295.85,309.45,294.325,5037986.0
2009-10-08,297.5,285.7,299.375,284.25,5081086.0
2009-10-09,287.525,280.875,295.2,278.325,5016239.0
2009-10-12,283.5,289.925,292.125,281.775,2587110.0
2009-10-14,292.475,296.475,299.0,290.35,1989790.0
2009-10-15,297.0,290.9,298.95,287.5,2116190.0
2009-10-16,283.0,299.15,302.2,283.0,3594971.0
2009-10-20,307.0,310.525,312.9,306.025,3920292.0
2009-10-21,310.0,316.4,319.7,309.0,2865819.0
2009-10-22,316.0,312.925,321.975,307.675,2146462.0
2009-10-23,315.05,319.9,322.95,314.8,3747230.0
2009-10-26,321.5,322.275,328.825,317.5,2035873.0
2009-10-27,328.95,321.375,328.95,317.275,1970440.0
2009-10-28,321.2,321.425,324.45,317.5,1791157.0
2009-10-29,318.0,317.025,322.75,315.6,2441356.0
2009-10-30,321.0,314.15,324.375,310.0,1438062.0
2009-11-03,318.0,303.025,318.0,300.5,1384144.0
2009-11-04,305.55,312.85,314.0,305.0,2277899.0
2009-11-05,315.0,312.25,315.0,302.8,1365651.0
2009-11-06,310.0,311.075,317.475,306.825,2089742.0
2009-11-09,312.5,311.375,314.0,307.5,1716043.0
2009-11-10,313.0,313.325,314.5,310.0,2305203.0
2009-11-11,313.525,322.625,323.5,309.25,2024706.0
2009-11-12,322.5,327.675,330.75,321.775,2363883.0
2009-11-13,327.475,335.075,337.45,323.775,2298948.0
2009-11-16,335.0,332.875,338.5,330.0,1761904.0
2009-11-17,334.0,345.225,346.45,329.65,2672165.0
2009-11-18,345.5,343.45,352.85,341.75,2791457.0
2009-11-19,344.95,339.95,346.2,334.75,1732332.0
2009-11-20,339.0,346.575,348.0,335.05,1400387.0
2009-11-23,347.5,347.05,350.0,343.0,1271737.0
2009-11-24,352.0,349.525,352.0,341.0,1360936.0
2009-11-25,349.525,351.4,355.825,346.0,1946627.0
2009-11-26,352.475,343.95,353.675,342.5,2204559.0
2009-11-27,338.275,335.225,343.2,327.5,1884529.0
2009-11-30,337.0,344.2,346.475,337.0,1941444.0
2009-12-01,351.7,342.875,351.7,340.125,1614982.0
2009-12-02,347.475,342.15,347.475,338.525,1080977.0
2009-12-03,343.875,345.025,347.95,339.625,1489353.0
2009-12-04,340.5,347.6,350.5,340.5,1966704.0
