NseCode,Company,OldFV,NewFV,SplitDate
,Sharp Invest,10,1,02-12-2015
,Vivid Global,10,5,02-12-2015
,Vitan Agro,10,1,26-11-2015
,Rander Corp,1,10,26-11-2015
NATCOPHARM,Natco Pharma,10,2,26-11-2015
AVANTIFEED,Avanti Feeds,10,2,26-11-2015
notScraping,Assoc Stone,5,1,26-11-2015
SHILPAMED,Shilpa,2,1,06-11-2015
,Infronics Syst,5,10,05-11-2015
,Mahalaxmi Rub,1,10,05-11-2015
,Inceptum Ent,1,10,03-11-2015
,Mahavir Ind,10,5,02-11-2015
,Diligent Ind,10,5,30-10-2015
notScraping,Kesar Petro,10,1,30-10-2015
,Negotium Int,1,10,29-10-2015
,Quasar India,1,10,29-10-2015
SARLAPOLY,Sarla Performan,10,1,29-10-2015
,Mudunuru,10,2,15-10-2015
,Oripro,10,2,15-10-2015
LAMBODHARA,Lambodhara Text,10,5,15-10-2015
BATAINDIA,Bata India,10,5,07-10-2015
CADILAHC,Cadila Health,5,1,06-10-2015
,Toyam Ind,10,1,05-10-2015
ALANKIT,Alankit,10,2,23-09-2015
,Samtex Fashions,10,2,22-09-2015
notScraping,Aegis Logistics,10,1,16-09-2015
URJA,Urja Global,10,1,16-09-2015
,Kushal,10,2,03-09-2015
ITDCEM,ITD Cementation,10,1,21-08-2015
SIGIND,Signet Ind,10,1,17-08-2015
,Kausambi Vanij,10,1,14-08-2015
HIGHGROUND,High Ground Ent,10,1,16-07-2015
,Birdhi Chand,10,1,02-07-2015
JMTAUTOLTD,JMT Auto,10,2,25-06-2015
,ASIS Logistics,100,1,12-06-2015
FCL,Fineotex Chem,10,2,11-06-2015
,Sunstar Realty,10,1,04-06-2015
ELPROINTL,Elpro Int,10,2,04-06-2015
ROLLT,Rollatainers,10,2,04-06-2015
,Kkalpana Ind,10,2,21-05-2015
,Shri Mahalaxmi,10,5,18-05-2015
,Rasi Electrodes,10,2,11-05-2015
,Indag Rubber,10,2,23-04-2015
TWL,Titagarh Wagons,10,2,23-04-2015
,Arnold Holdings,10,2,16-04-2015
PITTIENG,Pitti Engineeri,10,5,16-04-2015
notScraping,Menon Bearings,5,1,09-04-2015
KSERASERA,KSS,10,1,30-03-2015
,Millennium,10,1,30-03-2015
,Rajlaxmi Ind,10,1,27-03-2015
KANSAINER,Kansai Nerolac,10,1,26-03-2015
,Panafic Ind,10,1,25-03-2015
GRANULES,Granules India,10,1,23-03-2015
notScraping,Ajanta Pharma,5,2,20-03-2015
TECHM,Tech Mahindra,10,5,19-03-2015
,Monotype India ,10,1,16-03-2015
,Aplaya Creation,10,1,11-03-2015
,Channel Nine,10,1,02-03-2015
,Amines Plast,10,2,27-02-2015
HIKAL,Hikal,10,2,27-02-2015
,Grandma Trading,10,1,26-02-2015
,Bala Techno,10,1,25-02-2015
,HPC Bio,10,1,20-02-2015
,Yamini Invt,10,1,18-02-2015
,Zyden Gentec,10,2,18-02-2015
,Quasar India,10,1,12-02-2015
,Esteem Bio,10,1,11-02-2015
,Him Fibres,10,1,09-02-2015
POLYMED,Poly Medicure,10,5,02-02-2015
TATACOFFEE,Tata Coffee,10,1,23-01-2015
CORPBANK,Corporation Bk,10,2,22-01-2015
BANKBARODA,Bank of Baroda,10,2,22-01-2015
RSSOFTWARE,RS Software,10,5,21-01-2015
BERGEPAINT,Berger Paints,2,1,08-01-2015
,Eco Friendly,10,1,08-01-2015
notScraping,Hathway Cable,10,2,06-01-2015
MINDACORP,Minda Corp,10,2,05-01-2015
GULPOLY,Gulshan Poly,5,1,27-12-2016
,Shree Global,5,1,21-12-2016
,TTI Enterprise,2,10,21-12-2016
ALANKIT,Alankit,2,1,15-12-2016
notScraping,KNR Construct,10,2,13-12-2016
,Satkar Finlease,10,1,08-12-2016
,Chandni Textile,1,10,08-12-2016
SUNILHITEC,Sunil HitechEng,10,1,01-12-2016
NIYATILEAS,Veerhealth Care,1,10,29-11-2016
,Mangalam Ind,10,1,29-11-2016
KPRMILL,KPR Mill,10,5,29-11-2016
notScraping,Capri Global,10,2,23-11-2016
KARURVYSYA,Karur Vysya,10,2,17-11-2016
ICIL,Indo Count,10,2,11-11-2016
,Inani Marbles,10,2,10-11-2016
,Vama Ind,10,2,02-11-2016
,Gold Line,10,1,28-10-2016
BHAGERIA,Bhageria Indu,10,5,26-10-2016
,Negotium Int,10,1,25-10-2016
,VKJ Infra,10,1,25-10-2016
VIJIFIN,Viji Finance,10,1,25-10-2016
,Menon Pistons,10,1,20-10-2016
,Welcon Internat,10,1,20-10-2016
CAPLIPOINT,Caplin Labs,10,2,19-10-2016
,Srestha Finvest,10,2,13-10-2016
,Safal Sec,5,10,13-10-2016
notScraping,Gyscoal Alloys,10,1,13-10-2016
8KMILES,8K Miles Soft,10,5,10-10-2016
,Pact Industries,10,1,10-10-2016
GRASIM,Grasim,10,2,06-10-2016
,Diamond Info,10,1,04-10-2016
KAJARIACER,Kajaria Ceramic,2,1,04-10-2016
ROLLT,Rollatainers,2,1,22-09-2016
JMTAUTOLTD,JMT Auto,2,1,21-09-2016
MINDAIND,Minda Ind,10,2,12-09-2016
TRENT,Trent,10,1,12-09-2016
BAJFINANCE,Bajaj Finance,10,2,08-09-2016
,Mishtann Foods,10,1,08-09-2016
,HICS Cements,10,1,08-09-2016
,Chembond Chem,10,5,06-09-2016
VGUARD,V-Guard Ind,10,1,30-08-2016
notScraping,Pil Italica,4,1,24-08-2016
PNCINFRA,PNC Infratech,10,2,12-08-2016
KTIL,Kesar Terminals,10,5,11-08-2016
,Bombay Wire Rop,10,1,09-08-2016
LLOYDMETAL,Lloyds Metals,2,1,26-07-2016
notScraping,Solar Ind,10,2,13-07-2016
LUXIND,Lux Industries,10,2,06-06-2016
NBCC,NBCC (India),10,2,02-06-2016
,Transcorp Intl,10,2,13-05-2016
,PS IT Infra,1,10,11-05-2016
,Amba Enterprise,10,5,09-05-2016
PALREDTEC,Palred Tech,5,10,26-04-2016
,ABM Knowledg,10,5,07-04-2016
,Adithya Aqua,10,5,06-04-2016
,Blue Cloud,10,5,06-04-2016
VIVIMEDLAB,Vivimed Labs,10,2,06-04-2016
UVSL,Uttam Value,5,1,28-03-2016
,Synthiko Foils,10,5,22-03-2016
,Veer Energy,1,10,22-03-2016
,Synthiko Foils,10,5,22-03-2016
notScraping,Precision Wires,10,5,21-03-2016
notScraping,Welspun India,10,1,21-03-2016
TIDEWATER,Tide Water Oil,10,5,16-03-2016
RAMASTEEL,Rama Steel Tube,10,5,14-03-2016
PRAKASHSTL,Prakash Steelag,10,1,03-03-2016
BHANDARI,Bhandari Hosier,10,1,25-02-2016
notScraping,Sequent Scienti,10,2,25-02-2016
,Vegetable Prod,10,1,18-02-2016
MOLDTECH,Mold Tek Tech,10,2,17-02-2016
MOLDTKPAC,Mold-Tek Pack,10,5,17-02-2016
,Mystic Electr,1,10,08-02-2016
,Netlink Sol,1,10,28-01-2016
,Mukta Agri,1,10,14-01-2016
STAMPEDE,Stampede Cap,10,1,07-01-2016
GREENPLY,Greenply Ind,5,1,06-01-2016
,Confidence Fin,1,10,27-12-2017
JINDWORLD,Jindal Worldwid,10,5,26-12-2017
,Premier Pipes,10,5,22-12-2017
,Advik Capital ,10,1,14-12-2017
,JMD Ventures,1,10,04-12-2017
,Universal Sec,5,1,04-12-2017
,Akar Auto Indus,10,5,29-11-2017
,Esaar (India),1,10,10-11-2017
IGL,IGL,10,2,09-11-2017
,Jagdamba Polyme,10,1,01-11-2017
ATLASCYCLE,Atlas Cycles,10,5,30-10-2017
,BAMPSL Sec,1,10,26-10-2017
SIYSIL,Siyaram Silk,10,2,25-10-2017
,Vishal Fabrics,10,5,24-10-2017
,Blue Circle Ser,1,10,23-10-2017
POKARNA,Pokarna,10,2,18-10-2017
,Dwekam Industri,1,10,16-10-2017
CANFINHOME,Can Fin Homes,10,2,12-10-2017
HERITGFOOD,Heritage Foods,10,5,10-10-2017
JAMNAAUTO,Jamna Auto,5,1,05-10-2017
,IND Renewable,1,10,29-09-2017
,Everlon Synth,1,10,29-09-2017
notScraping,Transformers,10,1,28-09-2017
notScraping,Trans & Electr,10,1,28-09-2017
ELPROINTL,Elpro Int,2,1,27-09-2017
SUTLEJTEX,Sutlej Textiles,10,1,26-09-2017
,Safari Ind,10,2,22-09-2017
YESBANK,Yes Bank,10,2,21-09-2017
NESCO,NESCO,10,2,15-09-2017
BOROSIL,Borosil Glass,10,1,14-09-2017
DECCANCE,Deccan Cements,10,5,11-09-2017
INFIBEAM,Infibeam Avenue,10,1,31-08-2017
DOLLAR,Dollar Ind,10,2,31-08-2017
,Banas Finance,1,10,29-08-2017
,Orosil Smiths,5,1,24-08-2017
,Global Infra,1,10,23-08-2017
DWARKESH,Dwarikesh Sugar,10,1,10-08-2017
notScraping,Coral India Fin,10,2,03-08-2017
,Sai Baba Invest,10,1,27-07-2017
notScraping,Sunteck Realty,2,1,25-07-2017
NAVINFLUOR,Navin Fluorine,10,2,19-07-2017
ARCOTECH,Arcotech,10,2,22-06-2017
notScraping,SKS,10,2,22-06-2017
notScraping,Advanced Enzyme,10,2,25-05-2017
notScraping,Hind Composites,10,5,25-05-2017
,Mangal Credit,10,1,17-05-2017
,Mishtann Foods,1,10,05-05-2017
,HICS Cements,1,10,05-05-2017
BEARDSELL,Beardsell,10,2,04-05-2017
,Dwekam Industri,10,1,28-04-2017
BLS,BLS Internation,10,1,26-04-2017
,Avance Tech,1,10,24-04-2017
,Maral Finance,1,10,13-04-2017
,Ontic Finserve,1,10,13-04-2017
,Veronica Prod,1,10,23-03-2017
,SVC Resources,1,10,23-03-2017
BEL,Bharat Elec,10,1,16-03-2017
,Viaan Ind,10,1,09-03-2017
,Aadhaar Venture,1,10,02-03-2017
,Nutraplus India,10,5,27-02-2017
,Allied Computer,1,10,17-02-2017
,Dwitiya Trading,10,2,17-02-2017
notScraping,Compuage Info,10,2,16-02-2017
GAYAPROJ,Gayatri Project,10,2,10-02-2017
DAAWAT,LT Foods,10,1,07-02-2017
,Rasoi,10,200,02-02-2017
,Khemani Distrib,10,5,02-02-2017
,Kallam Spinning,10,2,02-02-2017
USHDEVINT,Ushdev Intl,10,1,30-01-2017
,Sanguine Media ,1,10,19-01-2017
STERTOOLS,Sterling Tools,10,2,09-01-2017
JSWSTEEL,JSW Steel,10,1,04-01-2017
,Sayaji Industri,10,5,27-12-2018
CAMPALLIED,ORIENTAL AROMAT,10,5,13-12-2018
BRITANNIA,Britannia,2,1,29-11-2018
,Mangal Credit,1,10,26-11-2018
,Brijlaxmi Lease,1,10,15-11-2018
,Oriental Veneer,10,1,14-11-2018
notScraping,SEL,10,1,12-11-2018
,KIC Metaliks,10,2,02-11-2018
