Company,OldFV,NewFV,SplitDate
Zigma Software,10,1,13-07-2005
HCL Info,10,2,08-07-2005
Asahi Infra,10,1,04-07-2005
IKF Tech,10,1,04-07-2005
IFSL,10,1,01-07-2005
Ugar Sugar Work,10,1,29-06-2005
SGN Cable,10,1,23-06-2005
Brijlaxmi Lease,10,1,22-06-2005
Ambuja Cements,10,2,20-06-2005
Systel Infotech,10,1,20-06-2005
Hinafil India,10,1,20-06-2005
Greenply Ind,10,5,16-06-2005
Diana Tea,10,2,13-06-2005
Sapan Chemicals,10,1,02-06-2005
Global Films,10,1,30-05-2005
Cat Technologie,10,1,30-05-2005
EID Parry,10,2,27-05-2005
Aban Offshore,10,2,04-05-2005
Ind-Swift,10,2,29-04-2005
Hexaware Tech,10,2,28-04-2005
Ruchinfra,10,1,21-04-2005
Kanika Infocom,10,2,15-04-2005
Aadhaar Venture,10,1,11-04-2005
JB Chemicals,10,2,05-04-2005
Balrampur Chini,10,1,23-03-2005
Eskay Knit,4,1,22-03-2005
Krishna Life,10,1,22-03-2005
Sterling Bio,2,1,18-03-2005
Gammon India,10,2,15-03-2005
Shivalik Bimeta,10,2,15-03-2005
LCC Infotech,10,2,14-03-2005
Fast Track,10,1,11-03-2005
Rico Auto,10,1,11-03-2005
Pondy Oxides,10,2,09-03-2005
KPIT Tech,10,5,03-03-2005
Trimline Invt,10,1,25-02-2005
Vishal Exports,5,1,25-02-2005
Surana Telecom,10,5,24-02-2005
Bhagyanagar Ind,10,2,24-02-2005
Geodesic,10,2,18-02-2005
Interworld,10,1,14-02-2005
Silicon Valley,10,1,11-02-2005
GV Films,10,1,08-02-2005
Triveni Engg,10,1,08-02-2005
Mercator,10,1,24-01-2005
Vijay Textiles,10,1,19-01-2005
Doctor Biotech,10,1,18-01-2005
Matrix Lab,10,2,13-01-2005
HT Media,10,2,28-12-2006
KEI Industries,10,2,21-12-2006
Lakshmi Energy,10,2,15-12-2006
Lakshmi Machine,100,10,13-12-2006
Future Ent,10,2,12-12-2006
FEL,10,2,12-12-2006
Graphite India,10,2,11-12-2006
Sanwaria Consum,5,2,08-12-2006
Transport Corp,10,2,05-12-2006
Alicon Castallo,10,5,04-12-2006
Jaipan Inds,1,10,24-11-2006
Supreme Tex,10,5,17-11-2006
Shreejal Info,10,1,14-11-2006
Mazda,2,10,13-11-2006
Indian Hotels,10,1,27-10-2006
GMM Pfaudler,10,2,20-10-2006
Ontrack Systems,1,10,19-10-2006
Cat Technologie,1,10,19-10-2006
Elecon Eng,10,2,17-10-2006
Munjal Showa,10,2,16-10-2006
Swan Energy,100,2,13-10-2006
Manali Petro,10,5,28-09-2006
Navneet,10,2,27-09-2006
