Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
507405,VISHNSG,VISHNU SUGAR MILLS LTD.,06 Oct 2003,Bonus issue 3:1       ,23 Oct 2003,-,-,06 Oct 2003,29 Oct 2003,-
500250,LGBBROSLTD,L.G.BALAKRISHNAN & BROS.LTD.,09 Dec 2003,Bonus issue 1:1       ,17 Dec 2003,-,-,09 Dec 2003,17 Dec 2003,-
532509,SUPRAJIT,SUPRAJIT ENGINEERING LTD.-$,16 Mar 2004,Bonus issue 1:1       ,23 Mar 2004,-,-,16 Mar 2004,23 Mar 2004,-
506690,UNICHEMLAB,UNICHEM LABORATORIES LTD.,16 Mar 2004,Bonus issue 1:1       ,24 Mar 2004,-,-,16 Mar 2004,24 Mar 2004,-
532300,WOCKPHARMA,WOCKHARDT LTD.,28 Apr 2004,Bonus issue 1:2       ,-,07 May 2004,11 May 2004,28 Apr 2004,05 May 2004,-
526109,PRICOL,Pricol   Ltd,07 Jul 2004,Bonus issue 1:2       ,15 Jul 2004,-,-,07 Jul 2004,14 Jul 2004,-
507789,JAGSNPHARM,JAGSONPAL PHARMACEUTICALS LTD.,20 Jul 2004,Bonus issue 3:1       ,28 Jul 2004,-,-,20 Jul 2004,28 Jul 2004,-
522034,SHANTIGEAR,SHANTHI GEARS LTD.,27 Jul 2004,Bonus issue 1:1       ,03 Aug 2004,-,-,27 Jul 2004,03 Aug 2004,-
509895,HINDMILL,HINDOOSTAN MILLS LTD.,01 Oct 2004,Bonus issue 1:2       ,15 Oct 2004,-,-,01 Oct 2004,19 Oct 2004,-
512233,JAYTEX,JAYBHARAT TEXTILES & REAL ESTATE LTD.,12 Oct 2004,Bonus issue 31:10     ,25 Oct 2004,-,-,12 Oct 2004,28 Oct 2004,-
516108,STHINPA,SOUTH INDIA PAPER MILLS LTD.,14 Oct 2004,Bonus issue 1:1       ,27 Oct 2004,-,-,14 Oct 2004,01 Nov 2004,-
531120,PATELENG,PATEL ENGINEERING LTD.-$,25 Oct 2004,Bonus issue 1:1       ,01 Nov 2004,-,-,25 Oct 2004,29 Oct 2004,-
524038,VENLONENT,VENLON ENTERPRISES LTD.,27 Oct 2004,Bonus issue 4:5       ,03 Nov 2004,-,-,27 Oct 2004,02 Nov 2004,-
524794,MATRIXLAB$,MATRIX LABORATORIES LTD.,13 Jan 2005,Bonus issue 1:1,20 Jan 2005,-,-,13 Jan 2005,19 Jan 2005,-
503699,GEODESIC,GEODESIC LTD.,18 Feb 2005,Bonus issue 1:1,25 Feb 2005,-,-,18 Feb 2005,24 Feb 2005,-
523596,IRCONIN,IRCON INTERNATIONAL LTD.,18 Feb 2005,Bonus issue 1:1,-,03 Mar 2005,04 Mar 2005,18 Feb 2005,08 Mar 2005,-
501421,TECHNVISN,TECHNVISION VENTURES LTD.,02 Mar 2005,Bonus issue 10:1,14 Mar 2005,-,-,02 Mar 2005,17 Mar 2005,-
513097,SHBCLQ,SHIVALIK BIMETAL CONTROLS LTD.,15 Mar 2005,Bonus issue 1:1,22 Mar 2005,-,-,15 Mar 2005,21 Mar 2005,-
509020,RUCHINFRA,RUCHI INFRASTRUCTURE LTD.,21 Apr 2005,Bonus issue 3:1,29 Apr 2005,-,-,21 Apr 2005,28 Apr 2005,-
500425,AMBUJACEM,AMBUJA CEMENTS LTD.,20 Jun 2005,Bonus issue 1:2,25 Jun 2005,-,-,20 Jun 2005,23 Jun 2005,-
530363,UGARSUGAR,UGAR SUGAR WORKS LTD.-$,29 Jun 2005,Bonus issue 3:5,06 Jul 2005,-,-,29 Jun 2005,05 Jul 2005,-
512233,JAYTEX,JAYBHARAT TEXTILES & REAL ESTATE LTD.,01 Aug 2005,Bonus issue 9:1,12 Aug 2005,-,-,01 Aug 2005,17 Aug 2005,-
522205,PRAJIND,PRAJ INDUSTRIES LTD.,17 Aug 2005,Bonus issue 1:1,24 Aug 2005,-,-,17 Aug 2005,23 Aug 2005,-
503655,AEONIA,AEONIAN INVESTMENTS CO.LTD.,25 Aug 2005,Bonus issue 3:1,01 Sep 2005,-,-,25 Aug 2005,31 Aug 2005,-
500875,ITC,ITC LTD.,21 Sep 2005,Bonus issue 1:2,28 Sep 2005,-,-,21 Sep 2005,27 Sep 2005,-
532493,ASTRAMICRO,ASTRA MICROWAVE PRODUCTS LTD.,07 Oct 2005,Bonus issue 1:1,15 Oct 2005,-,-,07 Oct 2005,13 Oct 2005,-
523367,DCMSHRIRAM,DCM Shriram Limited,07 Oct 2005,Bonus issue 1:1,17 Oct 2005,-,-,07 Oct 2005,14 Oct 2005,-
506685,ULTRAMAR,ULTRAMARINE & PIGMENTS LTD.-$,10 Oct 2005,Bonus issue 3:5,18 Oct 2005,-,-,10 Oct 2005,17 Oct 2005,-
514043,HIMATSEIDE,HIMATSINGKA SEIDE LTD.,14 Oct 2005,Bonus issue 1:1,21 Oct 2005,-,-,14 Oct 2005,20 Oct 2005,-
532607,ONTRACK,ONTRACK SYSTEMS LTD.,14 Oct 2005,Bonus issue 1:2,21 Oct 2005,-,-,14 Oct 2005,20 Oct 2005,-
521176,GANGOTRI,GANGOTRI TEXTILES LTD.,24 Oct 2005,Bonus issue 1:1,31 Oct 2005,-,-,24 Oct 2005,27 Oct 2005,-
531565,INDOPACIFIC,Indo Pacific Projects Ltd,26 Oct 2005,Bonus issue 1:1,07 Nov 2005,-,-,26 Oct 2005,02 Nov 2005,-
512093,CRANESSOFT,CRANES SOFTWARE INTERNATIONAL LTD.,02 Nov 2005,Bonus issue 1:1,11 Nov 2005,-,-,02 Nov 2005,10 Nov 2005,-
512349,LINKH,LINKHOUSE INDUSTRIES LTD.,02 Nov 2005,Bonus issue 1:1,11 Nov 2005,-,-,02 Nov 2005,10 Nov 2005,-
503100,PHOENIXLTD,The Phoenix Mills Ltd,09 Dec 2005,Bonus issue 4:1,16 Dec 2005,-,-,09 Dec 2005,15 Dec 2005,-
509040,NETLINK,NETLINK SOLUTIONS (INDIA) LTD.,13 Jan 2006,Bonus issue 2:1,20 Jan 2006,-,-,13 Jan 2006,19 Jan 2006,-
500430,UNITEDWESTB,UNITED WESTERN BANK LTD.,17 Jan 2006,Bonus issue 1:5,-,24 Jan 2006,25 Jan 2006,17 Jan 2006,23 Jan 2006,-
512519,DONEAR,DONEAR INDUSTRIES LTD.-$,27 Jan 2006,Bonus issue 1:1,03 Feb 2006,-,-,27 Jan 2006,02 Feb 2006,-
532613,VIPCLOTHNG,VIP Clothing Ltd,16 Feb 2006,Bonus issue 3:4,23 Feb 2006,-,-,16 Feb 2006,22 Feb 2006,-
500420,TORNTPHARM,TORRENT PHARMACEUTICALS LTD.,20 Feb 2006,Bonus issue 1:1,27 Feb 2006,-,-,20 Feb 2006,24 Feb 2006,-
503101,MARATHON,MARATHON NEXTGEN REALTY LTD.,16 Mar 2006,Bonus issue 4:1,29 Mar 2006,-,-,16 Mar 2006,03 Apr 2006,-
503205,SHREERAM,SHREE RAM URBAN INFRASTRUCTURE LTD.,17 Mar 2006,Bonus issue 1:5,31 Mar 2006,-,-,17 Mar 2006,04 Apr 2006,-
500900,STERLITEIND,STERLITE INDUSTRIES (INDIA) LTD.,05 May 2006,Bonus issue 1:1,12 May 2006,-,-,05 May 2006,11 May 2006,-
506076,GRINDWELL,GRINDWELL NORTON LTD.-$,26 May 2006,Bonus issue 1:1,02 Jun 2006,-,-,26 May 2006,01 Jun 2006,-
500298,NATPEROX,NATIONAL PEROXIDE LTD.,26 May 2006,Bonus issue 3:2,02 Jun 2006,-,-,26 May 2006,01 Jun 2006,-
507878,UNITECH,UNITECH LTD.,23 Jun 2006,Bonus issue 12:1,30 Jun 2006,-,-,23 Jun 2006,29 Jun 2006,-
532175,CYIENT,Cyient Limited,28 Jul 2006,Bonus issue 1:2,04 Aug 2006,-,-,28 Jul 2006,03 Aug 2006,-
506260,ANUHPHR,ANUH PHARMA LTD.,31 Jul 2006,Bonus issue 1:1,07 Aug 2006,-,-,31 Jul 2006,04 Aug 2006,-
505530,PRISMINFO,PRISM INFORMATICS LTD.,09 Aug 2006,Bonus issue 2:1,21 Aug 2006,-,-,09 Aug 2006,24 Aug 2006,-
500840,EIHOTEL,EIH LTD.,12 Sep 2006,Bonus issue 1:2,19 Sep 2006,-,-,12 Sep 2006,18 Sep 2006,-
507405,VISHNSG,VISHNU SUGAR MILLS LTD.,13 Oct 2006,Bonus issue 1:1,27 Oct 2006,-,-,13 Oct 2006,01 Nov 2006,-
513012,ZJEETMAC,JEET MACHINE TOOLS LTD.,02 Nov 2006,Bonus issue 7:1,15 Nov 2006,-,-,02 Nov 2006,20 Nov 2006,-
511024,ZSUBWAYF,SUBWAY FINANCE & INVESTMENT CO.LTD.,02 Nov 2006,Bonus issue 7:2,15 Nov 2006,-,-,02 Nov 2006,20 Nov 2006,-
532400,KPIT,KPIT Technologies Limited,04 Jan 2007,Bonus issue 1:1,11 Jan 2007,-,-,04 Jan 2007,10 Jan 2007,-
512018,CNIRESLTD,CNI RESEARCH LTD.,08 Jan 2007,Bonus issue 1:2,15 Jan 2007,-,-,08 Jan 2007,12 Jan 2007,-
532626,PONDYOXIDE,PONDY OXIDES & CHEMICALS LTD.,15 Jan 2007,Bonus issue 1:10,20 Jan 2007,-,-,15 Jan 2007,18 Jan 2007,-
511726,VIPUL,VIPUL LTD.,08 Mar 2007,Bonus issue 1:1,22 Mar 2007,-,-,08 Mar 2007,26 Mar 2007,-
531276,BOMSS,BOMBAY SWADESHI STORES LTD.,20 Mar 2007,Bonus issue 1:3,28 Mar 2007,-,-,20 Mar 2007,26 Mar 2007,-
505509,RESPONIND,RESPONSIVE INDUSTRIES LTD.,22 Mar 2007,Bonus issue 3:1,05 Apr 2007,-,-,22 Mar 2007,10 Apr 2007,-
530239,SUVEN,SUVEN LIFE SCIENCES LTD.,23 Mar 2007,Bonus issue 1:1,02 Apr 2007,-,-,23 Mar 2007,29 Mar 2007,-
505658,REMIPRO,REMI PROCESS PLANT & MACHINERY LTD.,16 Apr 2007,Bonus issue 3:1,28 Apr 2007,-,-,16 Apr 2007,30 Apr 2007,-
523229,BHARATSE,BHARAT SEATS LTD.-$,28 Jun 2007,Bonus issue 1:1,05 Jul 2007,-,-,28 Jun 2007,04 Jul 2007,-
532318,GEMINI,GEMINI COMMUNICATION LTD.,17 Jul 2007,Bonus issue 1:1,18 Jul 2007,-,-,11 Jul 2007,17 Jul 2007,-
517140,MOSERBAER,MOSER BAER INDIA LTD.,17 Jul 2007,Bonus issue 1:2,18 Jul 2007,-,-,11 Jul 2007,17 Jul 2007,-
522205,PRAJIND,PRAJ INDUSTRIES LTD.,18 Jul 2007,Bonus issue 1:1,-,20 Jul 2007,25 Jul 2007,13 Jul 2007,19 Jul 2007,-
532733,SUNTV,SUN TV NETWORK LTD.,23 Jul 2007,Bonus issue 1:1,-,28 Jul 2007,06 Aug 2007,23 Jul 2007,26 Jul 2007,-
532622,GDL,GATEWAY DISTRIPARKS LTD.,02 Aug 2007,Bonus issue 1:4,03 Aug 2007,-,-,27 Jul 2007,02 Aug 2007,-
531209,NUCLEUS,NUCLEUS SOFTWARE EXPORTS LTD.,03 Aug 2007,Bonus issue 1:1,06 Aug 2007,-,-,30 Jul 2007,03 Aug 2007,-
500019,BOR,BANK OF RAJASTHAN LTD.,16 Aug 2007,Bonus issue 1:4,-,18 Aug 2007,03 Sep 2007,10 Aug 2007,14 Aug 2007,-
