Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
512296,BHAGYNAGAR,BHAGYANAGAR INDIA LTD.,24 Feb 2005,-,03 Mar 2005,-,-,24 Feb 2005,02 Mar 2005,-
517530,SURANAT&P,Surana Telecom And Power Limited,24 Feb 2005,-,03 Mar 2005,-,-,24 Feb 2005,02 Mar 2005,-
503673,CMM,CMM BROADCASTING NETWORK LTD.,25 Feb 2005,-,04 Mar 2005,-,-,25 Feb 2005,03 Mar 2005,-
532400,KPIT,KPIT Technologies Limited,04 Mar 2005,-,11 Mar 2005,-,-,04 Mar 2005,10 Mar 2005,-
590019,PONDYOX,PONDY OXIDES & CHEMICALS LTD.,09 Mar 2005,-,16 Mar 2005,-,-,09 Mar 2005,15 Mar 2005,-
532084,FASTRAENT,FAST TRACK ENTERTAINMENT LTD.,11 Mar 2005,-,18 Mar 2005,-,-,11 Mar 2005,17 Mar 2005,-
520008,RICOAUTO,RICO AUTO INDUSTRIES LTD.,11 Mar 2005,-,18 Mar 2005,-,-,11 Mar 2005,17 Mar 2005,-
532019,LCCINFOTEC,LCC INFOTECH LTD.,14 Mar 2005,-,19 Mar 2005,-,-,14 Mar 2005,17 Mar 2005,-
509550,GAMMONIND,GAMMON INDIA LTD.,15 Mar 2005,-,22 Mar 2005,-,-,15 Mar 2005,21 Mar 2005,-
513097,SHBCLQ,SHIVALIK BIMETAL CONTROLS LTD.,15 Mar 2005,-,22 Mar 2005,-,-,15 Mar 2005,21 Mar 2005,-
512299,STERLINBIO,STERLING BIOTECH LTD.,18 Mar 2005,-,26 Mar 2005,-,-,18 Mar 2005,23 Mar 2005,-
514118,ESKAY,ESKAY K'N'IT (INDIA) LTD.,22 Mar 2005,-,30 Mar 2005,-,-,22 Mar 2005,29 Mar 2005,-
514221,KLIFESTYL,K-Lifestyle & Industries Limited,22 Mar 2005,-,30 Mar 2005,-,-,22 Mar 2005,29 Mar 2005,-
500038,BALRAMCHIN,BALRAMPUR CHINI MILLS LTD.,23 Mar 2005,-,31 Mar 2005,-,-,23 Mar 2005,29 Mar 2005,-
506943,JBCHEPHARM,J.B.CHEMICALS & PHARMACEUTICALS LTD.,05 Apr 2005,-,12 Apr 2005,-,-,05 Apr 2005,11 Apr 2005,-
531611,AADHAARVEN,AADHAAR VENTURES INDIA LTD.,11 Apr 2005,-,19 Apr 2005,-,-,11 Apr 2005,18 Apr 2005,-
532367,KANIKAIN,KANIKA INFOTECH LTD.,15 Apr 2005,-,26 Apr 2005,-,-,15 Apr 2005,25 Apr 2005,-
509020,RUCHINFRA,RUCHI INFRASTRUCTURE LTD.,21 Apr 2005,-,29 Apr 2005,-,-,21 Apr 2005,28 Apr 2005,-
532129,HEXAWARE,HEXAWARE TECHNOLOGIES LTD.,28 Apr 2005,-,05 May 2005,-,-,28 Apr 2005,04 May 2005,-
524652,INDSWFTLTD,IND-SWIFT LTD.,29 Apr 2005,-,06 May 2005,-,-,29 Apr 2005,05 May 2005,-
523204,ABAN,ABAN OFFSHORE LTD.,04 May 2005,-,11 May 2005,-,-,04 May 2005,10 May 2005,-
500125,EIDPARRY,E.I.D.-PARRY (INDIA) LTD.,27 May 2005,-,03 Jun 2005,-,-,27 May 2005,02 Jun 2005,-
531682,CATECH,CAT TECHNOLOGIES LTD.,30 May 2005,-,06 Jun 2005,-,-,30 May 2005,04 Jun 2005,-
531660,FAIAW,GLOBAL FILMS & BROADCASTING LTD.,30 May 2005,-,06 Jun 2005,-,-,30 May 2005,04 Jun 2005,-
531781,SAPANCHEM,SAPAN CHEMICALS LTD.,02 Jun 2005,-,09 Jun 2005,-,-,02 Jun 2005,08 Jun 2005,-
530959,DIANATEA,DIANA TEA CO.LTD.,13 Jun 2005,-,20 Jun 2005,-,-,13 Jun 2005,17 Jun 2005,-
526797,GREENPLY,GREENPLY INDUSTRIES LTD.,16 Jun 2005,-,23 Jun 2005,-,-,16 Jun 2005,22 Jun 2005,-
500425,AMBUJACEM,AMBUJA CEMENTS LTD.,20 Jun 2005,-,25 Jun 2005,-,-,20 Jun 2005,23 Jun 2005,-
526779,HINAFIL,HINAFIL INDIA LTD.,20 Jun 2005,-,27 Jun 2005,-,-,20 Jun 2005,24 Jun 2005,-
531418,SYSTELIN,SYSTEL INFOTECH LTD.,20 Jun 2005,-,27 Jun 2005,-,-,20 Jun 2005,24 Jun 2005,-
532113,BRIJLEAS,BRIJLAXMI LEASING & FINANCE LTD.,22 Jun 2005,-,29 Jun 2005,-,-,22 Jun 2005,28 Jun 2005,-
531812,SGNTE,SGN TELECOMS LTD.,23 Jun 2005,-,30 Jun 2005,-,-,23 Jun 2005,29 Jun 2005,-
530363,UGARSUGAR,UGAR SUGAR WORKS LTD.-$,29 Jun 2005,-,06 Jul 2005,-,-,29 Jun 2005,05 Jul 2005,-
531998,IFSLLTD,IFSL LTD.,01 Jul 2005,-,08 Jul 2005,-,-,01 Jul 2005,07 Jul 2005,-
512535,ASAHINFRA,ASAHI INFRASTRUCTURE & PROJECTS LTD.,04 Jul 2005,-,11 Jul 2005,-,-,04 Jul 2005,08 Jul 2005,-
532414,IKFTECH,IKF TECHNOLOGIES LTD.,04 Jul 2005,-,11 Jul 2005,-,-,04 Jul 2005,08 Jul 2005,-
500179,HCL-INSYS,HCL INFOSYSTEMS LTD.,08 Jul 2005,-,15 Jul 2005,-,-,08 Jul 2005,14 Jul 2005,-
532177,ZIGMASOF,ZIGMA SOFTWARE LTD.-$,13 Jul 2005,-,20 Jul 2005,-,-,13 Jul 2005,19 Jul 2005,-
532379,FIRSTOBJ,FIRSTOBJECT TECHNOLOGIES LTD.,15 Jul 2005,-,22 Jul 2005,-,-,15 Jul 2005,21 Jul 2005,-
530519,INTERFAC,INTERFACE FINANCIAL SERVICES LTD.,18 Jul 2005,-,25 Jul 2005,-,-,18 Jul 2005,22 Jul 2005,-
500493,BHARATFORG,BHARAT FORGE LTD.,20 Jul 2005,-,-,27 Jul 2005,27 Jul 2005,20 Jul 2005,26 Jul 2005,-
530955,MINDVISCAP,Mindvision Capital Ltd,21 Jul 2005,-,28 Jul 2005,-,-,21 Jul 2005,27 Jul 2005,-
530079,FAZE3Q,FAZE THREE LTD.-$,22 Jul 2005,-,29 Jul 2005,-,-,22 Jul 2005,29 Jul 2005,-
531486,FILME,FILMCITY MEDIA LTD.,25 Jul 2005,-,01 Aug 2005,-,-,25 Jul 2005,01 Aug 2005,-
500359,RANBAXY,RANBAXY LABORATORIES LTD.,25 Jul 2005,-,01 Aug 2005,-,-,25 Jul 2005,01 Aug 2005,-
532312,GEOMETRIC,GEOMETRIC LTD.,02 Aug 2005,-,09 Aug 2005,-,-,02 Aug 2005,08 Aug 2005,-
502165,OCL,OCL INDIA LTD.,02 Aug 2005,-,09 Aug 2005,-,-,02 Aug 2005,08 Aug 2005,-
500241,KIRLOSBROS,KIRLOSKAR BROTHERS LTD.-$,10 Aug 2005,-,18 Aug 2005,-,-,10 Aug 2005,17 Aug 2005,-
500243,KIRLOSIND,Kirloskar Industries Ltd,10 Aug 2005,-,18 Aug 2005,-,-,10 Aug 2005,17 Aug 2005,-
531842,LAHOTIOV,LAHOTI OVERSEAS LTD.-$,12 Aug 2005,-,22 Aug 2005,-,-,12 Aug 2005,19 Aug 2005,-
532275,LANDMARC,LANDMARC LEISURE CORPORATION LTD.,12 Aug 2005,-,20 Aug 2005,-,-,12 Aug 2005,18 Aug 2005,-
504879,ORIENTABRA,ORIENT ABRASIVES LTD.-$,16 Aug 2005,-,23 Aug 2005,-,-,16 Aug 2005,22 Aug 2005,-
522205,PRAJIND,PRAJ INDUSTRIES LTD.,17 Aug 2005,-,24 Aug 2005,-,-,17 Aug 2005,23 Aug 2005,-
523792,MAZDALTD,MAZDA LTD.-$,18 Aug 2005,-,25 Aug 2005,-,-,18 Aug 2005,24 Aug 2005,-
517471,KOATOOLIN,KOA TOOLS INDIA LTD.,19 Aug 2005,-,26 Aug 2005,-,-,19 Aug 2005,25 Aug 2005,-
524552,SHASUNPHAR,SHASUN PHARMACEUTICALS LTD.,19 Aug 2005,-,26 Aug 2005,-,-,19 Aug 2005,25 Aug 2005,-
531092,OMMETALS,OM METALS INFRAPROJECTS LTD.,22 Aug 2005,-,27 Aug 2005,-,-,22 Aug 2005,25 Aug 2005,-
